time(s),trig_fname18,10,11,12,13,14,15,16,17,18,trig_fname29,0.5 5.8_fname20,1.5 5.8_fname21,off off_fname22,0.5 30_fname25,0.5 55_fname27,0.5 15_fname28,0.5 off_fname29,trig_fname34,1_lpm_fname30,1.5_lpm_fname31,0.5_lpm_fname32,2_lpm_fname33,0lpm_fname34
16.34,0.032,0.0032666667,0.021048,-0.0008746667,-0.0008746667,0.005024,0.0031306667,0.002912,0.0081333333,0.002776,0.032,-0.0222266667,-0.0247,0.0092733333,-0.0273666667,-0.0122533333,-0.0132866667,-0.00942,0.032,0.019504,0.016992,-0.000136,0.000108,0.0317733333
16.36,0.032,0.0034106667,0.021144,-0.0008906667,-0.0008906667,0.005096,0.0030906667,0.002848,0.0080533333,0.00272,0.032,-0.0222866667,-0.02472,0.0092133333,-0.0274466667,-0.0122533333,-0.0134066667,-0.00956,0.032,0.019424,0.01702,-0.000136,0.000108,0.0318733333
16.38,0.032,0.0033786667,0.021096,-0.0009786667,-0.0009786667,0.005,0.0031066667,0.002944,0.0080053333,0.002584,0.032,-0.0224466667,-0.02474,0.0091933333,-0.0275466667,-0.0123133333,-0.0135066667,-0.00966,0.032,0.019316,0.016952,-0.00014,0.000116,0.0319533333
16.4,0.032,0.0032826667,0.021128,-0.0009786667,-0.0009786667,0.005032,0.0031706667,0.002912,0.0079573333,0.002696,0.032,-0.0225266667,-0.0248,0.0091333333,-0.0276266667,-0.0123333333,-0.0135466667,-0.00988,0.032,0.019228,0.01688,-0.000144,0.000112,0.0319933333
16.42,0.0312,0.0032346667,0.02108,-0.0009146667,-0.0009146667,0.004976,0.0031466667,0.002816,0.0080133333,0.002632,0.032,-0.0225666667,-0.02486,0.0090933333,-0.0277066667,-0.0123733333,-0.0136466667,-0.01004,0.032,0.019248,0.016852,-0.000136,0.000116,0.0320333333
16.44,0.032,0.0033226667,0.02096,-0.0009546667,-0.0009546667,0.004832,0.0032906667,0.00276,0.0079013333,0.00264,0.0312,-0.0227066667,-0.02484,0.0090333333,-0.0278066667,-0.0123733333,-0.0136866667,-0.01024,0.0328,0.019092,0.016836,-0.00014,0.000132,0.0320733333
16.46,0.032,0.0033706667,0.020952,-0.0008026667,-0.0008026667,0.004648,0.0034746667,0.002888,0.0077893333,0.002592,0.032,-0.0227666667,-0.0249,0.0089733333,-0.0278866667,-0.0123933333,-0.0137266667,-0.0103,0.0312,0.01908,0.016824,-0.00014,0.000128,0.0321333333
16.48,0.032,0.0032586667,0.020912,-0.0008426667,-0.0008426667,0.004552,0.0035386667,0.0028,0.0077173333,0.002672,0.032,-0.0229466667,-0.02494,0.0089333333,-0.0279466667,-0.0124333333,-0.0138266667,-0.01044,0.032,0.018912,0.01676,-0.000144,0.000128,0.0322133333
16.5,0.0312,0.0032186667,0.020896,-0.0009786667,-0.0009786667,0.004472,0.0035466667,0.002712,0.0076773333,0.002664,0.0328,-0.0230666667,-0.02492,0.0088733333,-0.0280466667,-0.0124933333,-0.0139066667,-0.0106,0.0328,0.018856,0.016724,-0.000136,0.000144,0.0322533333
16.52,0.0312,0.0030666667,0.020872,-0.0011066667,-0.0011066667,0.004296,0.0034426667,0.0026,0.0075973333,0.002696,0.032,-0.0231866667,-0.02494,0.0088333333,-0.0281266667,-0.0125333333,-0.0139666667,-0.01064,0.032,0.018884,0.0167,-0.000144,0.000144,0.0323333333
16.54,0.0312,0.0029706667,0.020896,-0.0012506667,-0.0012506667,0.004168,0.0034986667,0.002632,0.0075253333,0.002624,0.0312,-0.0232466667,-0.02496,0.0088133333,-0.0282066667,-0.0125533333,-0.0140866667,-0.0108,0.032,0.01888,0.016636,-0.000148,0.000128,0.0324133333
16.56,0.032,0.0029226667,0.02072,-0.0012026667,-0.0012026667,0.004032,0.0033306667,0.002648,0.0075253333,0.002552,0.0312,-0.0233066667,-0.02494,0.0087733333,-0.0283066667,-0.0125733333,-0.0141866667,-0.01092,0.032,0.018868,0.016612,-0.000152,0.000124,0.0324333333
16.58,0.032,0.0028506667,0.020656,-0.0013626667,-0.0013626667,0.003944,0.0033066667,0.00256,0.0073733333,0.002664,0.0312,-0.0234266667,-0.02494,0.0087533333,-0.0283866667,-0.0125933333,-0.0142866667,-0.01102,0.032,0.018936,0.016596,-0.000164,0.000124,0.0324733333
16.6,0.032,0.0027706667,0.020768,-0.0014026667,-0.0014026667,0.003888,0.0034106667,0.002472,0.0072773333,0.00252,0.032,-0.0235266667,-0.025,0.0087133333,-0.0284466667,-0.0126133333,-0.0143066667,-0.01118,0.032,0.018968,0.016564,-0.000168,0.000128,0.0324933333
16.62,0.032,0.0027306667,0.020608,-0.0013866667,-0.0013866667,0.00376,0.0033866667,0.00232,0.0072453333,0.002496,0.032,-0.0236066667,-0.02502,0.0086733333,-0.0285466667,-0.0126533333,-0.0143466667,-0.01128,0.032,0.018984,0.01646,-0.000156,0.000128,0.0325533333
16.64,0.032,0.0026346667,0.020608,-0.0013626667,-0.0013626667,0.003688,0.0032506667,0.00236,0.0071173333,0.002432,0.032,-0.0237266667,-0.02502,0.0086333333,-0.0286266667,-0.0126733333,-0.0144066667,-0.01134,0.0312,0.018936,0.016392,-0.000152,0.000124,0.0325733333
